"Prevalence_ID","Topography","Topo_code","Morphology","Morpho_code","Sample_analyzed","Sample_mutated","Population","Country","Comment","Ref_ID","Cross_Ref_ID","Title","Authors","S_Ref_Year","Journal","Volume","Start_page","End_page","PubMed","Ref_comment","Tissue_processing","Start_material","Prescreening","Material_sequenced","exon2","exon3","exon4","exon5","exon6","exon7","exon8","exon9","exon10","exon11","Exclude_analysis","WGS_WXS"
"159","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","29","11","Eastern Asia","China","","1192","","Molecular analysis of microdissected de novo glioblastomas and paired astrocytic tumors","Cheng Y;Ng HK;Ding M;Zhang SF;Pang JC;Lo KW;","1999","J Neuropathol Exp Neurol","58","120","128","0010029095","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"160","BRAIN","C71","Gemistocytic astrocytoma (C71._)","9411/3","28","23","NA","NA","","1030","","p53 and PTEN gene mutations in gemistocytic astrocytomas","Watanabe K;Peraud A;Gratas C;Wakai S;Kleihues P;Ohgaki H;","1998","Acta Neuropathol (Berl)","95","559","564","0009650746","","","DNA","SSCP","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"161","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","42","18","Eastern Asia","Japan","","980","882","Selective sensitivity to radiation of cerebral glioblastomas harboring p53 mutations","Tada M;Matsumoto R;Iggo RD;Onimaru R;Shirato H;Sawamura Y;Shinohe Y;","1998","Cancer Res","58","1793","1797","0009581814","Incidence calculated with ref 882","fixed","RNA","FASAY","cloned","false","false","true","true","true","true","true","true","false","false","false","No"
"162","BRAIN","C71","Astrocytoma, NOS (C71._)","9400/3","22","12","Western Europe","Germany","Grade 2 cases","858","","Analysis of p53 mutation and epidermal growth factor receptor amplification in recurrent gliomas with malignant progression","Reifenberger J;Ring GU;Gies U;Cobbers L;Oberstrass J;An HX;Niederacher D;Wechsler W;Reifenberger G;","1996","J Neuropathol Exp Neurol","55","822","831","0008965097","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"163","BRAIN","C71","Pilocytic astrocytoma (C71._)","9421/1","7","1","Western Europe","Germany","","848","","p53 gene mutations in human astrocytic brain tumors including pilocytic astrocytomas","Patt S;Gries H;Giraldo M;Cervos-Navarro J;Martin H;Janisch W;Brockmoller J;","1996","Hum Pathol","27","586","589","0008666369","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"164","BRAIN","C71","Astrocytoma, NOS (C71._)","9400/3","18","1","Western Europe","Germany","","848","","p53 gene mutations in human astrocytic brain tumors including pilocytic astrocytomas","Patt S;Gries H;Giraldo M;Cervos-Navarro J;Martin H;Janisch W;Brockmoller J;","1996","Hum Pathol","27","586","589","0008666369","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"165","BRAIN","C71","Astrocytoma, anaplastic (C71._)","9401/3","4","1","Western Europe","Germany","","848","","p53 gene mutations in human astrocytic brain tumors including pilocytic astrocytomas","Patt S;Gries H;Giraldo M;Cervos-Navarro J;Martin H;Janisch W;Brockmoller J;","1996","Hum Pathol","27","586","589","0008666369","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"166","BRAIN","C71","Astrocytoma, anaplastic (C71._)","9401/3","15","10","Eastern Asia","Japan","","882","","Reappraisal of p53 mutations in human malignant astrocytic neoplasms by p53 functional assay: comparison with conventional structural analyses","Tada M;Iggo RD;Waridel F;Nozaki M;Matsumoto R;Sawamura Y;Shinohe Y;Ikeda J;Abe H;","1997","Mol Carcinog","18","171","176","0009115587","","","RNA","FASAY","cloned","false","false","true","true","true","true","true","true","true","true","false","No"
"167","BRAIN","C71","Germinoma","9064/3","12","4","Eastern Asia","Japan","","521","","Intracranial germ cell tumors: detection of p53 gene mutations by single-strand conformation polymorphism analysis","Feng X;Zhang S;Ichikawa T;Koga H;Washiyama K;Motoyama T;Kumanishi T;","1995","Jpn J Cancer Res","86","555","561","0007622420","","fixed","DNA","SSCP","direct","false","false","true","true","true","true","true","false","false","false","false","No"
"168","BRAIN","C71","Astrocytoma, NOS (C71._)","9400/3","15","4","Eastern Asia","Japan","","839","","Accumulation of wild-type p53 in astrocytomas is associated with increased p21 expression","Ono Y;Tamiya T;Ichikawa T;Matsumoto K;Furuta T;Ohmoto T;Akiyama K;Seki S;Ueki K;Louis DN;","1997","Acta Neuropathol (Berl)","94","21","27","0009224526","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"169","BRAIN","C71","Astrocytoma, anaplastic (C71._)","9401/3","20","4","Eastern Asia","Japan","","839","","Accumulation of wild-type p53 in astrocytomas is associated with increased p21 expression","Ono Y;Tamiya T;Ichikawa T;Matsumoto K;Furuta T;Ohmoto T;Akiyama K;Seki S;Ueki K;Louis DN;","1997","Acta Neuropathol (Berl)","94","21","27","0009224526","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"170","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","13","3","Eastern Asia","Japan","","839","","Accumulation of wild-type p53 in astrocytomas is associated with increased p21 expression","Ono Y;Tamiya T;Ichikawa T;Matsumoto K;Furuta T;Ohmoto T;Akiyama K;Seki S;Ueki K;Louis DN;","1997","Acta Neuropathol (Berl)","94","21","27","0009224526","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"171","BRAIN","C71","Giant cell glioblastoma (C71._)","9441/3","16","12","Western Europe","Switzerland","","958","","p53 mutations versus EGF receptor expression in giant cell glioblastomas","Peraud A;Watanabe K;Plate KH;Yonekawa Y;Kleihues P;Ohgaki H;","1997","J Neuropathol Exp Neurol","56","1236","1241","0009370234","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"172","BRAIN","C71","Pilocytic astrocytoma (C71._)","9421/1","16","0","NA","NA","","784","","Association of loss of heterozygosity on chromosome 17p with high platelet-derived growth factor alpha receptor expression in human malignant gliomas","Hermanson M;Funa K;Koopmann J;Maintz D;Waha A;Westermark B;Heldin CH;Wiestler OD;Louis DN;von Deimling A;Nister M;","1996","Cancer Res","56","164","171","0008548759","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"173","BRAIN","C71","Astrocytoma, NOS (C71._)","9400/3","8","2","NA","NA","","784","","Association of loss of heterozygosity on chromosome 17p with high platelet-derived growth factor alpha receptor expression in human malignant gliomas","Hermanson M;Funa K;Koopmann J;Maintz D;Waha A;Westermark B;Heldin CH;Wiestler OD;Louis DN;von Deimling A;Nister M;","1996","Cancer Res","56","164","171","0008548759","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"174","BRAIN","C71","Astrocytoma, anaplastic (C71._)","9401/3","9","3","NA","NA","","784","","Association of loss of heterozygosity on chromosome 17p with high platelet-derived growth factor alpha receptor expression in human malignant gliomas","Hermanson M;Funa K;Koopmann J;Maintz D;Waha A;Westermark B;Heldin CH;Wiestler OD;Louis DN;von Deimling A;Nister M;","1996","Cancer Res","56","164","171","0008548759","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"175","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","50","8","NA","NA","","784","","Association of loss of heterozygosity on chromosome 17p with high platelet-derived growth factor alpha receptor expression in human malignant gliomas","Hermanson M;Funa K;Koopmann J;Maintz D;Waha A;Westermark B;Heldin CH;Wiestler OD;Louis DN;von Deimling A;Nister M;","1996","Cancer Res","56","164","171","0008548759","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"176","BRAIN","C71","Mixed glioma (C71._)","9382/3","7","1","NA","NA","","784","","Association of loss of heterozygosity on chromosome 17p with high platelet-derived growth factor alpha receptor expression in human malignant gliomas","Hermanson M;Funa K;Koopmann J;Maintz D;Waha A;Westermark B;Heldin CH;Wiestler OD;Louis DN;von Deimling A;Nister M;","1996","Cancer Res","56","164","171","0008548759","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"177","BRAIN","C71","Oligodendroglioma, anaplastic (C71._)","9451/3","5","1","NA","NA","","784","","Association of loss of heterozygosity on chromosome 17p with high platelet-derived growth factor alpha receptor expression in human malignant gliomas","Hermanson M;Funa K;Koopmann J;Maintz D;Waha A;Westermark B;Heldin CH;Wiestler OD;Louis DN;von Deimling A;Nister M;","1996","Cancer Res","56","164","171","0008548759","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"178","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","19","2","Western Europe","Switzerland","Primary tumors","900","680","Overexpression of the EGF receptor and p53 mutations are mutually exclusive in the evolution of primary and secondary glioblastomas","Watanabe K;Tachibana O;Sata K;Yonekawa Y;Kleihues P;Ohgaki H;","1996","Brain Pathol","6","217","223","0008864278","","fixed","DNA","SSCP","direct","false","false","true","true","true","true","true","false","false","false","false","No"
"179","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","18","14","Western Europe","Switzerland","Recurrent from grade II Astrocytomas","900","680","Overexpression of the EGF receptor and p53 mutations are mutually exclusive in the evolution of primary and secondary glioblastomas","Watanabe K;Tachibana O;Sata K;Yonekawa Y;Kleihues P;Ohgaki H;","1996","Brain Pathol","6","217","223","0008864278","","fixed","DNA","SSCP","direct","false","false","true","true","true","true","true","false","false","false","false","No"
"180","BRAIN","C71","Glioblastoma, NOS (C71._)","9440/3","11","5","Western Europe","Switzerland","Recurrent from Anaplastic Astrocytomas grade III","900","680","Overexpression of the EGF receptor and p53 mutations are mutually exclusive in the evolution of primary and secondary glioblastomas","Watanabe K;Tachibana O;Sata K;Yonekawa Y;Kleihues P;Ohgaki H;","1996","Brain Pathol","6","217","223","0008864278","","fixed","DNA","SSCP","direct","false","false","true","true","true","true","true","false","false","false","false","No"
"181","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","28","10","Northern Europe","Finland","","1025","","A molecular and epidemiological study on bladder cancer: p53 mutations, tobacco smoking, and occupational exposure to asbestos","Kannio A;Ridanpaa M;Koskinen H;Partanen T;Anttila S;Collan Y;Hietanen E;Vainio H;Husgafvel-Pursiainen K;","1996","Cancer Epidemiol Biomarkers Prev","5","33","39","0008770464","","fixed","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"182","BLADDER","C67","Cancer, NOS","8000/3","69","20","Western Europe","Germany","","731","","Polymorphic enzymes of xenobiotic metabolism as modulators of acquired P53 mutations in bladder cancer","Brockmoller J;Kaiser R;Kerb R;Cascorbi I;Jaeger V;Roots I;","1996","Pharmacogenetics","6","535","545","0009014203","","frozen","DNA","none","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"183","BLADDER","C67","Squamous cell carcinoma, NOS","8070/3","53","17","Northern Africa","Egypt","","514","","Mutations in the p53 gene in schistosomal bladder cancer: a study of 92 tumours from Egyptian patients and a comparison between mutational spectra from schistosomal and non-schistosomal urothelial tumours","Warren W;Biggs PJ;el Baz M;Ghoneim MA;Stratton MR;Venitt S;","1995","Carcinogenesis","16","1181","1189","0007767983","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"184","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","23","8","Northern Africa","Egypt","","514","","Mutations in the p53 gene in schistosomal bladder cancer: a study of 92 tumours from Egyptian patients and a comparison between mutational spectra from schistosomal and non-schistosomal urothelial tumours","Warren W;Biggs PJ;el Baz M;Ghoneim MA;Stratton MR;Venitt S;","1995","Carcinogenesis","16","1181","1189","0007767983","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"185","BLADDER","C67","Adenocarcinoma, NOS","8140/3","13","4","Northern Africa","Egypt","","514","","Mutations in the p53 gene in schistosomal bladder cancer: a study of 92 tumours from Egyptian patients and a comparison between mutational spectra from schistosomal and non-schistosomal urothelial tumours","Warren W;Biggs PJ;el Baz M;Ghoneim MA;Stratton MR;Venitt S;","1995","Carcinogenesis","16","1181","1189","0007767983","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"186","BREAST","C50","Cancer, NOS","8000/3","33","6","Australia/New Zealand","Australia","","945","","Altered WAF1 genes do not play a role in abnormal cell cycle regulation in breast cancers lacking p53 mutations","McKenzie KE;Siva A;Maier S;Runnebaum IB;Seshadri R;Sukumar S;","1997","Clin Cancer Res","3","1669","1673","0009815858","","frozen","DNA","SSCP","cloned","false","false","false","true","true","true","true","true","false","false","false","No"
"187","BREAST","C50","Cancer, NOS","8000/3","20","7","Northern Europe","UK","Sporadic cases","1039","","p53 mutation with frequent novel condons but not a mutator phenotype in BRCA1- and BRCA2-associated breast tumours","Crook T;Brooks LA;Crossland S;Osin P;Barker KT;Waller J;Philp E;Smith PD;Yulug I;Peto J;Parker G;Allday MJ;Crompton MR;Gusterson BA;","1998","Oncogene","17","1681","1689","0009796697","","fixed","DNA","SSCP","cloned","true","true","true","true","true","true","true","true","true","true","false","No"
"188","BREAST","C50","Cancer, NOS","8000/3","28","19","Northern Europe","UK","BRCA1 carriers","1039","","p53 mutation with frequent novel condons but not a mutator phenotype in BRCA1- and BRCA2-associated breast tumours","Crook T;Brooks LA;Crossland S;Osin P;Barker KT;Waller J;Philp E;Smith PD;Yulug I;Peto J;Parker G;Allday MJ;Crompton MR;Gusterson BA;","1998","Oncogene","17","1681","1689","0009796697","","fixed","DNA","SSCP","cloned","true","true","true","true","true","true","true","true","true","true","false","No"
"189","BREAST","C50","Cancer, NOS","8000/3","22","14","Northern Europe","UK","BRCA2 carriers","1039","","p53 mutation with frequent novel condons but not a mutator phenotype in BRCA1- and BRCA2-associated breast tumours","Crook T;Brooks LA;Crossland S;Osin P;Barker KT;Waller J;Philp E;Smith PD;Yulug I;Peto J;Parker G;Allday MJ;Crompton MR;Gusterson BA;","1998","Oncogene","17","1681","1689","0009796697","","fixed","DNA","SSCP","cloned","true","true","true","true","true","true","true","true","true","true","false","No"
"190","BRAIN","C71","Pilocytic astrocytoma (C71._)","9421/1","20","11","Western Europe","The Netherlands","","1208","","High frequency of TP53 mutations in juvenile pilocytic astrocytomas indicates role of TP53 in the development of these tumors","Hayes VM;Dirven CM;Dam A;Verlind E;Molenaar WM;Mooij JJ;Hofstra RM;Buys CH;","1999","Brain Pathol","9","463","467","0010416986","","fixed","DNA","DGGE","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"191","BLADDER","C67","Cancer, NOS","8000/3","18","9","NA","NA","Secondary cancer after cyclophosphamide therapy","817","","p53 mutations in cyclophosphamide-associated bladder cancer","Khan MA;Travis LB;Lynch CF;Soini Y;Hruszkewycz AM;Delgado RM;Holowaty EJ;van Leeuwen FE;Glimelius B;Stovall M;Boice JD;Tarone RE;Bennett WP;","1998","Cancer Epidemiol Biomarkers Prev","7","397","403","0009610789","","fixed","DNA","Mismatch cleavage","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"192","BLADDER","C67","Carcinoma, NOS","8010/3","13","8","South Eastern Asia","Chinese Taipei (Taiwan)","","389","","Mutational spectrum in the p53 gene in bladder tumors from the endemic area of black foot disease in Taiwan","Shibata A;Ohneseit PF;Tsai YC;Spruck CH;Nichols PW;Chiang HS;Lai MK;Jones PA;","1994","Carcinogenesis","15","1085","1087","0008020137","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"193","BLADDER","C67","Carcinoma, NOS","8010/3","11","4","Southern Europe","Italy","Aromatic-amine exposed patients","457","","Screening for p53 gene mutations in archived tumors of workers occupationally exposed to carcinogens: examples from analysis of bladder tumors","Esteve A;Sorlie T;Martel-Planche G;Hollstein M;Kusters I;Lewalter J;Vineis P;Stephan-Odenthal M;Montesano R;","1995","J Occup Environ Med","37","59","68","0007620944","","fixed","DNA","none","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"194","BLADDER","C67","Carcinoma, NOS","8010/3","11","3","Southern Europe","Italy","","457","","Screening for p53 gene mutations in archived tumors of workers occupationally exposed to carcinogens: examples from analysis of bladder tumors","Esteve A;Sorlie T;Martel-Planche G;Hollstein M;Kusters I;Lewalter J;Vineis P;Stephan-Odenthal M;Montesano R;","1995","J Occup Environ Med","37","59","68","0007620944","","fixed","DNA","none","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"195","BLADDER","C67","Cancer, NOS","8000/3","38","8","Northern America","USA","","476","","p53 mutations in human bladder cancer","Kusser WC;Miao X;Glickman BW;Friedland JM;Rothman N;Hemstreet GP;Mellot J;Swan DC;Schulte PA;Hayes RB;","1994","Environ Mol Mutagen","24","156","160","0007957118","","frozen","DNA","SSCP/MDE","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"199","BLADDER","C67","Squamous cell carcinoma, NOS","8070/3","21","12","Southern Africa","South Africa","Invasive cancers","527","","Molecular events underlying schistosomiasis-related bladder cancer","Ramchurren N;Cooper K;Summerhayes IC;","1995","Int J Cancer","62","237","244","0007628866","","fixed","DNA","SSCP","cloned","false","false","true","true","true","true","true","true","false","false","false","No"
"200","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","34","16","Northern America","USA","Arylamine exposed patients","658","","p53 mutations in bladder tumors from arylamine-exposed workers","Taylor JA;Li Y;He M;Mason T;Mettlin C;Vogler WJ;Maygarden S;Liu E;","1996","Cancer Res","56","294","298","0008542583","","fixed","DNA","SSCP","direct","false","false","true","true","true","true","true","false","false","false","false","No"
"201","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","30","17","Northern America","USA","","658","","p53 mutations in bladder tumors from arylamine-exposed workers","Taylor JA;Li Y;He M;Mason T;Mettlin C;Vogler WJ;Maygarden S;Liu E;","1996","Cancer Res","56","294","298","0008542583","","fixed","DNA","SSCP","direct","false","false","true","true","true","true","true","false","false","false","false","No"
"202","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","28","13","Northern Europe","UK","Primary and recurrent tumors","908","","A hot spot for p53 mutation in transitional cell carcinoma of the bladder: clues to the etiology of bladder cancer","Xu X;Stower MJ;Reid IN;Garner RC;Burns PA;","1997","Cancer Epidemiol Biomarkers Prev","6","611","616","0009264274","","frozen","DNA","none","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"203","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","16","2","Eastern Asia","Japan","Primary tumors, aromatic amine-exposed patients","995","","Alterations of the p53 gene in occupational bladder cancer in workers exposed to aromatic amines","Yasunaga Y;Nakanishi H;Naka N;Miki T;Tsujimura T;Itatani H;Okuyama A;Aozasa K;","1997","Lab Invest","77","677","684","0009426406","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"204","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","10","10","Eastern Asia","Japan","Nonoccupational bladder carcinoma","995","","Alterations of the p53 gene in occupational bladder cancer in workers exposed to aromatic amines","Yasunaga Y;Nakanishi H;Naka N;Miki T;Tsujimura T;Itatani H;Okuyama A;Aozasa K;","1997","Lab Invest","77","677","684","0009426406","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"205","BLADDER","C67","Transitional cell carcinoma, NOS","8120/3","21","8","Western Europe","Germany","Aromatic-amine exposed patients","1011","","Analysis of p53, p16MTS, p21WAF1 and H-ras in archived bladder tumours from workers exposed to aromatic amines","Sorlie T;Martel-Planche G;Hainaut P;Lewalter J;Holm R;Borresen-Dale AL;Montesano R;","1998","Br J Cancer","77","1573","1579","0009635831","","fixed","DNA","none","direct","false","false","true","true","true","true","true","true","false","false","false","No"
"206","BLADDER","C67","Dysplasia, NOS","74000","10","4","Eastern Europe","Ukraine","Patients from Chernobyl contaminated area","1292","","Specific p53 gene mutations in urinary bladder epithelium after the Chernobyl accident","Yamamoto S;Romanenko A;Wei M;Masuda C;Zaparin W;Vinnichenko W;Vozianov A;Lee CC;Morimura K;Wanibuchi H;Tada M;Fukushima S;","1999","Cancer Res","59","3606","3609","0010446970","","fixed","DNA","SSCP/IHC","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"207","BREAST","C50","Carcinoma, NOS","8010/3","114","26","South Eastern Asia","Chinese Taipei (Taiwan)","","937","","Novel patterns of p53 abnormality in breast cancer from Taiwan: experience from a low-incidence area","Lou MA;Tseng SL;Chang SF;Yue CT;Chang BL;Chou CH;Yang SL;Teh BH;Wu CW;Shen CY;","1997","Br J Cancer","75","746","751","0009043035","","fixed","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"208","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","51","23","Northern America","USA","","22","","Mutations in the p53 gene are frequent in primary, resected non-small cell lung cancer. Lung Cancer Study Group","Chiba I;Takahashi T;Nau MM;D'Amico D;Curiel DT;Mitsudomi T;Buchhagen DL;Carbone D;Piantadosi S;Koga H;","1990","Oncogene","5","1603","1610","0001979160","","frozen","RNA","none","direct","true","true","true","true","true","true","true","true","true","true","false","No"
"209","BRONCHUS AND LUNG","C34","Carcinoma, NOS","8010/3","92","47","Northern Europe","Finland","","906","","p53 antibodies in the sera of lung cancer patients: comparison with p53 mutation in the tumour tissue","Wild CP;Ridanpaa M;Anttila S;Lubin R;Soussi T;Husgafvel-Pursiainen K;Vainio H;","1995","Int J Cancer","64","176","181","0007622306","","","DNA","DGGE","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"210","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","80","17","Southern Europe","Spain","","894","","p53 exon 5 mutations as a prognostic indicator of shortened survival in non-small-cell lung cancer","Vega FJ;Iniesta P;Caldes T;Sanchez A;Lopez JA;de Juan C;Diaz-Rubio E;Torres A;Balibrea JL;Benito M;","1997","Br J Cancer","76","44","51","0009218731","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"211","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","50","8","Eastern Asia","China, Hong-Kong","","620","","p53 mutations in non-small cell lung carcinomas in Hong Kong","Lung ML;Wong MP;Skaanild MT;Fok CL;Lam WK;Yew WW;","1996","Chest","109","718","726","0008617082","","frozen","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"212","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","24","9","Western Europe","Switzerland","","651","","Frequent TP53 gene alterations (mutation, allelic loss, nuclear accumulation) in primary non-small cell lung cancer","Shipman R;Schraml P;Colombi M;Raefle G;Dalquen P;Ludwig C;","1996","Eur J Cancer","","335","341","0008664051","","","DNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"213","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","35","7","Eastern Asia","China, Hong-Kong","","563","68","Distinct mutational spectrum of the p53 gene in lung cancers from Chinese women in Hong Kong","Takagi Y;Koo LC;Osada H;Ueda R;Kyaw K;Ma CC;Suyama M;Saji S;Takahashi T;Tominaga S;","1995","Cancer Res","55","5354","5357","0007585600","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"214","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","35","11","Eastern Asia","Japan","","563","68","Distinct mutational spectrum of the p53 gene in lung cancers from Chinese women in Hong Kong","Takagi Y;Koo LC;Osada H;Ueda R;Kyaw K;Ma CC;Suyama M;Saji S;Takahashi T;Tominaga S;","1995","Cancer Res","55","5354","5357","0007585600","","frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"215","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","27","18","Eastern Asia","China","","749","","Distribution of p53 and K-ras mutations in human lung cancer tissues","Gao HG;Chen JK;Stewart J;Song B;Rayappa C;Whong WZ;Ong T;","1997","Carcinogenesis","18","473","478","0009067544","","frozen","DNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","true","No"
"216","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","16","8","Eastern Asia","China","Patients from high AFB1 exposure area","15","","Mutational hotspot in the p53 gene in human hepatocellular carcinomas","Hsu IC;Metcalf RA;Sun T;Welsh JA;Wang NJ;Harris CC;","1991","Nature","350","427","428","0001849234","","fixed","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"217","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","36","21","Eastern Asia","China","only codon 249 (c.747G>T) analyzed","97","","p53 mutations cluster at codon 249 in hepatitis B virus-positive hepatocellular carcinomas from China","Scorsone KA;Zhou YZ;Butel JS;Slagle BL;","1992","Cancer Res","52","1635","1638","0001311638","","frozen","DNA","Mismatch cleavage","cloned","false","false","false","false","false","true","false","false","false","false","false","No"
"218","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","20","9","Eastern Asia","China","Patients from Qidong","172","","Aberrations of p53 gene in human hepatocellular carcinoma from China","Li D;Cao Y;He L;Wang NJ;Gu JR;","1993","Carcinogenesis","14","169","173","0008382111","","","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"219","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","18","3","Eastern Asia","China","Patients from Shanghai","172","","Aberrations of p53 gene in human hepatocellular carcinoma from China","Li D;Cao Y;He L;Wang NJ;Gu JR;","1993","Carcinogenesis","14","169","173","0008382111","","","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"220","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","20","3","Eastern Asia","Japan","","269","","p53 gene mutations and 17p allelic deletions in hepatocellular carcinoma from Japan","Nose H;Imazeki F;Ohto M;Omata M;","1993","Cancer","72","355","360","0008100480","","frozen","DNA","none","direct","true","true","true","true","true","true","true","true","false","false","false","No"
"221","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","26","15","Eastern Asia","China","Patients from Qidong","320","","Alterations of tumor suppressor genes and allelic losses in human hepatocellular carcinomas in China","Fujimoto Y;Hampton LL;Wirth PJ;Wang NJ;Xie JP;Thorgeirsson SS;","1994","Cancer Res","54","281","285","0007903205","","frozen","DNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"222","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","9","5","Eastern Asia","China","Patients from Beijing","320","","Alterations of tumor suppressor genes and allelic losses in human hepatocellular carcinomas in China","Fujimoto Y;Hampton LL;Wirth PJ;Wang NJ;Xie JP;Thorgeirsson SS;","1994","Cancer Res","54","281","285","0007903205","","frozen","DNA","SSCP","cloned","false","false","false","true","true","true","true","false","false","false","false","No"
"223","LIVER AND INTRAHEPATIC BILE DUCTS","C22","Hepatocellular carcinoma, NOS (C22.0)","8170/3","21","6","Eastern Asia","China, Hong-Kong","","324","","p53 gene mutation spectrum in hepatocellular carcinomas in Hong Kong Chinese","Ng IO;Chung LP;Tsang SW;Lam CL;Lai EC;Fan ST;Ng M;","1994","Oncogene","9","985","990","0008108145","","frozen","DNA","","direct","false","false","false","true","true","true","true","true","false","false","false","No"
